,tournament,eventName,player1,player2,player1_odds,player2_odds,eventdate,lastupdate
139,ITF Women,Mia Chudejova (SVK) vs Lucija Ciric Bagaric (CRO),Mia Chudejova (SVK),Lucija Ciric Bagaric (CRO),5.75,1.09,2022-11-30 08:45,2022-11-30 08:45
140,ITF Women,Denise Hrdinkova (CZE) vs Zeel Desai (IND),Denise Hrdinkova (CZE),Zeel Desai (IND),1.95,1.72,2022-11-30 08:45,2022-11-30 08:45
141,ITF Women,Mila Masic (SRB) vs Sofiia Nagornaia (ISR),Mila Masic (SRB),Sofiia Nagornaia (ISR),1.3,3.1,2022-11-30 08:45,2022-11-30 08:45
142,ITF Women,Eszter Meri (SVK) vs Ivana Sebestova (CZE),Eszter Meri (SVK),Ivana Sebestova (CZE),1.6,2.15,2022-11-30 10:45,2022-11-30 10:45
143,ITF Women,Laura Radakovic (BIH) vs Veronika Bokor (AUT),Laura Radakovic (BIH),Veronika Bokor (AUT),1.48,2.4,2022-11-30 10:45,2022-11-30 10:45
144,ITF Women,Bojana Klincov (SUI) vs Ela Platenikova (SVK),Bojana Klincov (SUI),Ela Platenikova (SVK),1.08,6.0,2022-11-30 12:45,2022-11-30 12:45
145,ITF Women,Timea Jaruskova (SVK) vs Astrid Cirotte (FRA),Timea Jaruskova (SVK),Astrid Cirotte (FRA),1.4,2.65,2022-11-30 12:45,2022-11-30 12:45
146,ITF Women,Alina Michalitsch (AUT) vs Iva Primorac (CRO),Alina Michalitsch (AUT),Iva Primorac (CRO),6.5,1.07,2022-11-30 12:45,2022-11-30 12:45
147,ITF Women,P. Leykina/S. Nagornaia vs Z. Bednarz/M. Chudejova,P. Leykina/S. Nagornaia,Z. Bednarz/M. Chudejova,1.5,2.3,2022-11-30 14:45,2022-11-30 14:45
148,ITF Women,A. Gross/L. M. Rothensteiner vs A. Amos/A. Koller,A. Gross/L. M. Rothensteiner,A. Amos/A. Koller,5.25,1.1,2022-11-30 14:45,2022-11-30 14:45
149,ITF Women,S. Auer/V. Kan vs V. Bokor/L. Radakovic,S. Auer/V. Kan,V. Bokor/L. Radakovic,1.8,1.83,2022-11-30 14:45,2022-11-30 14:45
150,ITF Women,Diana Marcinkevica (LAT) vs Daria Lopatetska (UKR),Diana Marcinkevica (LAT),Daria Lopatetska (UKR),1.72,1.95,2022-11-30 09:45,2022-11-30 09:45
